date,Ixom,Coogee Chemicals,Omega Chemicals,isPartial
2015-03-01,49,0,19,False
2015-04-01,44,0,0,False
2015-05-01,0,0,0,False
2015-06-01,0,26,0,False
2015-07-01,58,27,0,False
2015-08-01,35,44,24,False
2015-09-01,0,59,30,False
2015-10-01,47,48,19,False
2015-11-01,27,32,0,False
2015-12-01,0,0,0,False
2016-01-01,0,0,0,False
2016-02-01,0,18,48,False
2016-03-01,33,96,0,False
2016-04-01,40,38,26,False
2016-05-01,62,37,0,False
2016-06-01,0,56,0,False
2016-07-01,0,0,0,False
2016-08-01,48,0,0,False
2016-09-01,42,18,0,False
2016-10-01,32,0,0,False
2016-11-01,0,20,0,False
2016-12-01,69,0,0,False
2017-01-01,0,0,0,False
2017-02-01,60,0,27,False
2017-03-01,43,0,0,False
2017-04-01,20,32,17,False
2017-05-01,43,0,0,False
2017-06-01,32,0,0,False
2017-07-01,0,0,0,False
2017-08-01,40,22,0,False
2017-09-01,0,18,0,False
2017-10-01,45,0,79,False
2017-11-01,24,0,0,False
2017-12-01,40,0,100,False
2018-01-01,54,19,18,False
2018-02-01,69,36,0,False
2018-03-01,24,38,0,False
2018-04-01,0,23,0,False
2018-05-01,25,0,0,False
2018-06-01,33,0,0,False
2018-07-01,28,0,19,False
2018-08-01,29,0,0,False
2018-09-01,31,22,0,False
2018-10-01,95,21,0,False
2018-11-01,38,0,0,False
2018-12-01,39,22,0,False
2019-01-01,27,36,0,False
2019-02-01,60,66,0,False
2019-03-01,47,15,75,False
2019-04-01,29,40,0,False
2019-05-01,0,19,18,False
2019-06-01,28,0,60,False
2019-07-01,0,31,19,False
2019-08-01,0,0,33,False
2019-09-01,57,34,0,False
2019-10-01,42,18,0,False
2019-11-01,0,28,0,False
2019-12-01,0,42,0,False
2020-01-01,0,42,0,False
2020-02-01,47,36,0,False
2020-03-01,0,0,16,False
2020-04-01,25,14,0,False
2020-05-01,0,59,0,False
2020-06-01,31,0,37,False
2020-07-01,21,0,0,False
2020-08-01,15,22,0,False
2020-09-01,36,0,41,False
2020-10-01,0,0,0,False
2020-11-01,0,0,0,False
2020-12-01,43,19,33,False
2021-01-01,0,18,0,False
2021-02-01,33,34,0,False
2021-03-01,38,35,0,False
2021-04-01,23,25,0,False
2021-05-01,40,0,0,False
2021-06-01,35,21,0,False
2021-07-01,31,0,17,False
2021-08-01,0,0,0,False
2021-09-01,35,0,0,False
2021-10-01,0,26,0,False
2021-11-01,0,17,50,False
2021-12-01,0,0,18,False
2022-01-01,23,35,22,False
2022-02-01,88,0,41,False
2022-03-01,35,0,0,False
