date,Ixom,Nalco Water,Omega Chemicals,isPartial
2015-03-01,45,42,18,False
2015-04-01,41,0,0,False
2015-05-01,0,31,0,False
2015-06-01,0,0,0,False
2015-07-01,53,0,0,False
2015-08-01,33,0,23,False
2015-09-01,0,0,28,False
2015-10-01,44,16,17,False
2015-11-01,25,0,0,False
2015-12-01,0,0,0,False
2016-01-01,0,45,0,False
2016-02-01,0,0,44,False
2016-03-01,30,0,0,False
2016-04-01,37,17,25,False
2016-05-01,58,0,0,False
2016-06-01,0,39,0,False
2016-07-01,0,29,0,False
2016-08-01,44,37,0,False
2016-09-01,39,30,0,False
2016-10-01,30,0,0,False
2016-11-01,0,23,0,False
2016-12-01,64,0,0,False
2017-01-01,0,31,0,False
2017-02-01,56,18,25,False
2017-03-01,40,0,0,False
2017-04-01,18,0,16,False
2017-05-01,40,73,0,False
2017-06-01,30,0,0,False
2017-07-01,0,31,0,False
2017-08-01,37,0,0,False
2017-09-01,0,0,0,False
2017-10-01,41,0,73,False
2017-11-01,23,0,0,False
2017-12-01,37,15,93,False
2018-01-01,50,0,17,False
2018-02-01,64,0,0,False
2018-03-01,22,24,0,False
2018-04-01,0,0,0,False
2018-05-01,23,0,0,False
2018-06-01,31,0,0,False
2018-07-01,26,45,18,False
2018-08-01,27,28,0,False
2018-09-01,28,22,0,False
2018-10-01,88,0,0,False
2018-11-01,35,0,0,False
2018-12-01,37,0,0,False
2019-01-01,25,0,0,False
2019-02-01,56,0,0,False
2019-03-01,44,0,70,False
2019-04-01,27,16,0,False
2019-05-01,0,0,17,False
2019-06-01,26,0,55,False
2019-07-01,0,18,18,False
2019-08-01,0,0,31,False
2019-09-01,53,0,0,False
2019-10-01,39,65,0,False
2019-11-01,0,18,0,False
2019-12-01,0,0,0,False
2020-01-01,0,15,0,False
2020-02-01,44,25,0,False
2020-03-01,0,0,15,False
2020-04-01,23,59,0,False
2020-05-01,0,0,0,False
2020-06-01,28,0,34,False
2020-07-01,19,18,0,False
2020-08-01,14,0,0,False
2020-09-01,33,0,38,False
2020-10-01,0,24,0,False
2020-11-01,0,28,0,False
2020-12-01,40,15,31,False
2021-01-01,0,17,0,False
2021-02-01,31,0,0,False
2021-03-01,35,0,0,False
2021-04-01,21,15,0,False
2021-05-01,37,0,0,False
2021-06-01,33,0,0,False
2021-07-01,29,0,16,False
2021-08-01,0,0,0,False
2021-09-01,32,100,0,False
2021-10-01,0,0,0,False
2021-11-01,0,0,47,False
2021-12-01,0,0,17,False
2022-01-01,22,0,20,False
2022-02-01,82,0,38,False
2022-03-01,32,0,0,False
